epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6512,0.97291,3.14163,1.1993,0.0083,1,0.78792,0.70922,0.54556,2.7989,0.83499,3.334e-05,3.334e-05,3.334e-05
2,20.6685,0.80764,3.01866,1.0643,0.00826,1,0.874,0.7895,0.31005,2.77818,0.77535,8.16997e-05,8.16997e-05,8.16997e-05
3,23.5853,0.66356,2.8643,0.99921,0.00834,1,0.874,0.7851,0.3464,2.77378,0.77461,0.000128079,0.000128079,0.000128079
4,26.6475,0.62079,2.70268,0.95515,0.0086,1,0.74667,0.65583,0.38968,2.76603,0.77717,0.000172478,0.000172478,0.000172478
5,29.3263,0.56064,2.48163,0.90748,0.00863,1,0.65238,0.57483,0.38195,2.74363,0.78451,0.000214896,0.000214896,0.000214896
6,31.9737,0.57903,2.22336,0.90961,0.00881,1,0.66417,0.60044,0.39172,2.72145,0.78058,0.000255334,0.000255334,0.000255334
7,34.4872,0.53115,2.08114,0.91544,0.00924,1,0.72563,0.68076,0.38751,2.68606,0.77441,0.000293792,0.000293792,0.000293792
8,37.1151,0.57146,1.91815,0.91811,0.0092,1,0.72563,0.66838,0.36439,2.65843,0.771,0.000330269,0.000330269,0.000330269
9,39.6269,0.54127,1.77497,0.89012,0.00954,1,0.81821,0.72144,0.46761,2.58449,0.78434,0.000364766,0.000364766,0.000364766
10,42.2346,0.5841,1.53676,0.90888,0.00957,1,0.90071,0.81336,0.49611,2.51566,0.79876,0.000397283,0.000397283,0.000397283
11,45.072,0.60139,1.44712,0.90741,0.0094,1,0.929,0.82822,0.51566,2.41863,0.80282,0.000427819,0.000427819,0.000427819
12,48.1454,0.55227,1.2314,0.91237,0.49985,0.97062,0.929,0.84967,0.56269,2.33452,0.81817,0.000456375,0.000456375,0.000456375
13,50.7998,0.58285,1.23604,0.93311,0.90395,0.81488,0.929,0.8098,0.60832,2.25412,0.83849,0.00048295,0.00048295,0.00048295
14,53.3566,0.55445,1.10099,0.92998,0.90152,0.74591,0.929,0.80138,0.65686,2.19998,0.82226,0.000507545,0.000507545,0.000507545
15,55.8444,0.56211,0.95283,0.92622,0.8723,0.82108,0.995,0.84612,0.78359,1.98609,0.86747,0.000530159,0.000530159,0.000530159
16,58.3768,0.57878,0.96394,0.92793,0.86572,0.8948,0.995,0.83771,0.74095,1.91332,0.86415,0.000550793,0.000550793,0.000550793
17,60.9898,0.5416,0.88847,0.90312,0.85693,0.92714,0.995,0.81284,0.75338,1.79718,0.83994,0.000569447,0.000569447,0.000569447
18,63.5618,0.54936,0.83078,0.88279,0.85556,0.90695,0.995,0.85857,0.71768,1.75166,0.8552,0.000586121,0.000586121,0.000586121
19,66.0898,0.53158,0.79543,0.88846,0.85692,0.95005,0.995,0.82527,0.73817,1.62281,0.87589,0.000600813,0.000600813,0.000600813
20,68.9249,0.50956,0.84066,0.89713,0.88207,0.97151,0.995,0.82527,0.70699,1.4503,0.89616,0.000613526,0.000613526,0.000613526
21,71.5532,0.50911,0.78396,0.86491,0.91527,0.9784,0.995,0.85416,0.68397,1.37688,0.90471,0.000624258,0.000624258,0.000624258
22,74.1319,0.53337,0.82947,0.90742,0.96135,0.99524,0.995,0.84173,0.68784,1.34993,0.89403,0.00063301,0.00063301,0.00063301
23,76.6253,0.53173,0.78878,0.88798,0.96765,1,0.995,0.81427,0.66336,1.37243,0.89096,0.000639781,0.000639781,0.000639781
24,79.7836,0.44197,0.72247,0.86498,0.94613,1,0.995,0.8199,0.63359,1.45908,0.85901,0.000644572,0.000644572,0.000644572
25,82.3612,0.45116,0.75948,0.86965,0.90227,1,0.995,0.81427,0.64042,1.42645,0.84393,0.000647383,0.000647383,0.000647383
26,84.9597,0.48735,0.75373,0.88046,0.88578,1,0.995,0.83622,0.58476,1.34936,0.83611,0.000648213,0.000648213,0.000648213
27,87.5522,0.47619,0.72271,0.88153,0.90771,1,0.995,0.88735,0.5525,1.312,0.83167,0.000647063,0.000647063,0.000647063
28,90.3146,0.39914,0.65704,0.85379,0.94558,0.97305,0.995,0.88735,0.57297,1.3314,0.82977,0.000643932,0.000643932,0.000643932
29,92.9085,0.50289,0.74405,0.90712,0.94558,0.97305,0.995,0.88735,0.57297,1.3314,0.82977,0.000638821,0.000638821,0.000638821
30,95.5572,0.45896,0.66862,0.87364,0.91499,0.97099,0.995,0.8874,0.55443,1.30673,0.82596,0.00063173,0.00063173,0.00063173
31,98.0679,0.48868,0.71012,0.89918,0.89941,0.97369,0.995,0.87502,0.51564,1.2637,0.82816,0.000622658,0.000622658,0.000622658
32,100.541,0.47147,0.71458,0.87332,0.89662,0.98071,0.995,0.8377,0.50227,1.25532,0.81895,0.000611606,0.000611606,0.000611606
33,102.96,0.45318,0.65542,0.86684,0.89662,0.98071,0.995,0.8377,0.50227,1.25532,0.81895,0.000598573,0.000598573,0.000598573
34,105.517,0.46144,0.68527,0.88009,0.88782,0.99138,0.995,0.8666,0.50003,1.24981,0.80399,0.000577782,0.000577782,0.000577782
35,108.132,0.42247,0.63153,0.85192,0.84521,1,0.995,0.88747,0.48597,1.23409,0.79731,0.000544776,0.000544776,0.000544776
36,110.796,0.47981,0.66723,0.86756,0.84785,0.8746,0.995,0.92893,0.45714,1.23394,0.8003,0.000511769,0.000511769,0.000511769
37,113.388,0.41984,0.61996,0.86337,0.84785,0.8746,0.995,0.92893,0.45714,1.23394,0.8003,0.000478762,0.000478762,0.000478762
38,116.09,0.43299,0.65549,0.84993,0.80812,0.94862,0.995,0.92593,0.42024,1.16313,0.8081,0.000445756,0.000445756,0.000445756
39,118.696,0.37838,0.60494,0.85084,0.83672,0.96868,0.995,0.91356,0.4118,1.0613,0.82278,0.000412749,0.000412749,0.000412749
40,121.429,0.38238,0.62683,0.85175,0.84363,1,0.995,0.91356,0.46879,1.00128,0.83575,0.000379743,0.000379743,0.000379743
41,124.528,0.31734,0.77726,0.80175,0.84363,1,0.995,0.91356,0.46879,1.00128,0.83575,0.000346736,0.000346736,0.000346736
42,127.064,0.27879,0.65721,0.79315,0.88357,1,0.995,0.91635,0.48215,0.90853,0.83108,0.000313729,0.000313729,0.000313729
43,129.823,0.28551,0.66707,0.8161,0.92747,1,0.995,0.88881,0.46884,0.85361,0.82079,0.000280723,0.000280723,0.000280723
44,132.694,0.27757,0.61857,0.802,0.9532,1,0.995,0.88881,0.49158,0.8059,0.81936,0.000247716,0.000247716,0.000247716
45,135.464,0.27758,0.60033,0.78533,0.9532,1,0.995,0.88881,0.49158,0.8059,0.81936,0.00021471,0.00021471,0.00021471
46,138.277,0.28969,0.63042,0.82716,0.96634,1,0.995,0.91635,0.51014,0.79753,0.81878,0.000181703,0.000181703,0.000181703
47,140.962,0.27106,0.62282,0.80698,0.96941,1,0.995,0.92472,0.48772,0.77586,0.81402,0.000148696,0.000148696,0.000148696
48,143.464,0.26528,0.61941,0.81551,0.9645,1,0.995,0.92472,0.45936,0.74609,0.81003,0.00011569,0.00011569,0.00011569
49,145.853,0.25927,0.61688,0.79712,0.9645,1,0.995,0.92472,0.45936,0.74609,0.81003,8.26832e-05,8.26832e-05,8.26832e-05
50,148.43,0.24416,0.61943,0.7955,0.96306,1,0.995,0.92472,0.44477,0.72017,0.80706,4.96766e-05,4.96766e-05,4.96766e-05
